### all pods
NAMESPACE                               NAME                                                              READY   STATUS                   RESTARTS        AGE    IP              NODE                                    NOMINATED NODE   READINESS GATES
runai-backend                           runai-backend-frontend-75c6bbf7c9-tqdkn                           1/1     Running                  1 (150m ago)    11h    192.168.0.33    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-grafana-5cdb599f98-x4ckv                            2/2     Running                  2 (150m ago)    11h    192.168.0.233   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-identity-manager-6774486496-bkzbd                   1/1     Running                  1 (150m ago)    11h    192.168.0.19    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-identity-manager-reconciler-r4x7x                   0/1     Completed                0               10h    <none>          edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-k8s-objects-tracker-594bd68d8c-cqs49                1/1     Running                  1 (150m ago)    11h    192.168.0.132   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-metrics-service-68b8f6475f-x8hb5                    1/1     Running                  1 (150m ago)    11h    192.168.0.21    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-nats-0                                              1/1     Running                  0               145m   192.168.0.230   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-nats-1                                              1/1     Running                  0               145m   192.168.0.177   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-nats-2                                              1/1     Running                  0               144m   192.168.0.66    edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-notifications-proxy-d8dffdbc9-l7hcs                 1/1     Running                  1 (150m ago)    11h    192.168.0.140   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
runai-backend                           runai-backend-notifications-service-5fddd68b5b-b2znw              1/1     Running                  1 (150m ago)    11h    192.168.0.228   edge-ec28263f33bf0977305518dae410b08e   <none>           <none>
